x,y,u,v,v_pred,resid
88.364456,57.784378,36.78665836401187,-3.012539166338753,-3.012536456434354,-2.709904398656704e-06
74.283936,54.40678,22.903769404878247,1.1026286149758757,1.1026318098939885,-3.1949181127366444e-06
60.256474,46.311462,6.707971960853888,1.1056009376231466,1.105603994943957,-3.0573208102957494e-06
82.13437,57.717567,31.357838678539608,0.044641250278138145,0.04464169535400387,-4.450758657251197e-07
69.284134,48.406086,15.573468130772683,-1.59422728619613,-1.594228267387393,9.811912631274566e-07
77.81013,57.588833,27.548569019438474,2.095272539566281,2.09527476328871,-2.2237224288623736e-06
107.66841,65.91405,57.56921015301899,-5.624003889235958,-5.624005658279198,1.7690432398964617e-06
76.40689,56.871525,25.974673493910863,2.175684847008384,2.1756835811448383,1.265863545540924e-06
72.313515,51.168285,19.578088120727738,-0.7167813933831528,-0.7167803313326343,-1.0620505185299223e-06
100.56871,68.07376,52.500542037698374,-0.2037925547184507,-0.20379690834980815,4.353631357451038e-06
85.40742,57.31956,33.993380560697666,-1.9365666797331826,-1.9365666598878635,-1.9845319165767705e-08
65.73637,47.454475,12.025208432250613,-0.6444662600105522,-0.6444670095528606,7.495423084424857e-07
78.559,57.776672,28.291029063433328,1.8835112355181831,1.8835104458482863,7.896698968057336e-07
102.01643,67.376236,53.405542961494035,-1.5317256316861858,-1.5317201358119754,-5.4958742103927705e-06
92.44081,67.234024,45.041704584745354,3.132921219359453,3.132923881998023,-2.6626385700723176e-06
73.051186,52.32614,20.79585714742886,-0.08288447520684272,-0.08288219174996826,-2.283456874460632e-06
70.23932,48.974834,16.685057465058264,-1.5792695456395194,-1.5792654970630442,-4.048576475179644e-06
88.56056,57.891556,37.01007841226343,-3.0177721902511614,-3.0177708535779004,-1.3366732609654264e-06
91.96877,65.819046,43.92541741971968,2.143533799142805,2.143530366112202,3.4330306029062285e-06
86.83264,57.347816,35.241785611193116,-2.624705677199133,-2.6247062272792308,5.5008009791635e-07
92.62934,67.65634,45.41613422609989,3.404392780358222,3.4043923442368085,4.3612141364945956e-07
104.750336,66.19454,55.182328136288895,-3.9220565493378032,-3.9220552704164606,-1.2789213426067647e-06
73.5264,53.136063,21.612365824940007,0.38092280295294323,0.3809226613203456,1.416325976499877e-07
93.27278,68.66579,46.478094351367055,3.9568826250092926,3.9568836955440525,-1.0705347599504478e-06
71.30269,49.905098,18.07109476949189,-1.3053216357837334,-1.3053207375549802,-8.982287531544841e-07
64.975815,47.35335,11.31598584324318,-0.351765913424515,-0.3517649660711623,-9.473533527093458e-07
89.05592,58.24083,37.61370973043929,-2.962971748708359,-2.962972959320303,1.2106119440247198e-06
100.71979,68.00157,52.59528622080791,-0.3418508839380543,-0.34185176785674326,8.839186889653128e-07
108.06331,66.10597,58.007163599706765,-5.655246087210891,-5.655241744685729,-4.342525161682431e-06
67.84049,47.865753,14.0530691330268,-1.3403481076912849,-1.340347774068479,-3.336228058259394e-07
82.02788,57.731422,31.272543102522842,0.10988499202376367,0.10988313464217997,1.8573815837030772e-06
98.86425,68.84363,51.40937066165199,1.3151639083169613,1.3151614458708039,2.462446157425191e-06
72.67582,51.715893,20.165657316429993,-0.42369117698073744,-0.42368834046090276,-2.8365198346813614e-06
97.88674,69.218376,50.750194785664036,2.128458153428472,2.1284567035450905,1.4498833813547662e-06
88.70565,57.981354,37.18062903563575,-3.0125497606136005,-3.012548475894962,-1.2847186385833709e-06
70.66043,49.300117,17.212390889293623,-1.5081209555395834,-1.5081218864755725,9.309359891851443e-07
95.17704,69.66583,48.62725192736638,3.8708136833129316,3.8708174020430612,-3.7187301296093267e-06
74.11193,54.128273,22.615554412460217,0.9474373419271913,0.9474378844589149,-5.425317235463467e-07
67.423485,47.758686,13.638398654922113,-1.2245685451492072,-1.224565940656211,-2.6044929961610563e-06
75.07062,55.54406,24.15369745465473,1.694200575634916,1.6942060605091116,-5.484874195493816e-06
